,precision,recall,f1-score,support
反,1.0,0.8571428571428571,0.923076923076923,7.0
叔,1.0,1.0,1.0,7.0
取,1.0,1.0,1.0,7.0
受,1.0,1.0,1.0,7.0
叛,1.0,1.0,1.0,7.0
叢,1.0,1.0,1.0,17.0
口,1.0,0.7142857142857143,0.8333333333333333,7.0
古,1.0,1.0,1.0,10.0
句,1.0,1.0,1.0,7.0
另,1.0,1.0,1.0,16.0
只,1.0,1.0,1.0,7.0
叫,1.0,1.0,1.0,7.0
召,1.0,1.0,1.0,17.0
叭,1.0,1.0,1.0,16.0
叮,1.0,1.0,1.0,6.0
可,1.0,1.0,1.0,10.0
台,0.8333333333333334,1.0,0.9090909090909091,10.0
史,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
右,1.0,1.0,1.0,7.0
司,1.0,0.9,0.9473684210526316,10.0
吃,1.0,1.0,1.0,17.0
各,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
合,0.9090909090909091,1.0,0.9523809523809523,10.0
吉,1.0,1.0,1.0,10.0
吊,1.0,1.0,1.0,7.0
同,1.0,1.0,1.0,10.0
名,1.0,1.0,1.0,10.0
吏,1.0,1.0,1.0,17.0
吐,1.0,1.0,1.0,7.0
向,1.0,1.0,1.0,17.0
君,1.0,1.0,1.0,10.0
吞,1.0,1.0,1.0,7.0
吟,1.0,1.0,1.0,10.0
否,1.0,0.8571428571428571,0.923076923076923,7.0
吧,1.0,1.0,1.0,6.0
含,1.0,0.9411764705882353,0.9696969696969697,17.0
吳,1.0,0.9,0.9473684210526316,10.0
吵,1.0,1.0,1.0,6.0
吸,0.875,1.0,0.9333333333333333,7.0
吹,1.0,1.0,1.0,7.0
吻,1.0,1.0,1.0,7.0
吼,1.0,1.0,1.0,6.0
吾,1.0,1.0,1.0,7.0
呀,1.0,1.0,1.0,6.0
呂,1.0,0.8,0.888888888888889,10.0
呆,1.0,1.0,1.0,17.0
呈,1.0,1.0,1.0,10.0
告,1.0,1.0,1.0,10.0
呢,1.0,1.0,1.0,16.0
周,1.0,1.0,1.0,10.0
呱,1.0,1.0,1.0,6.0
味,1.0,1.0,1.0,7.0
呵,1.0,1.0,1.0,6.0
呼,1.0,1.0,1.0,17.0
命,1.0,1.0,1.0,7.0
咋,1.0,1.0,1.0,7.0
和,1.0,1.0,1.0,10.0
咐,1.0,1.0,1.0,6.0
咒,1.0,1.0,1.0,6.0
咕,1.0,1.0,1.0,6.0
咖,1.0,1.0,1.0,16.0
咨,1.0,1.0,1.0,6.0
咬,1.0,0.8333333333333334,0.9090909090909091,6.0
咱,1.0,1.0,1.0,6.0
咳,1.0,0.9411764705882353,0.9696969696969697,17.0
咸,0.8571428571428571,1.0,0.923076923076923,6.0
咽,1.0,1.0,1.0,7.0
哀,1.0,0.9411764705882353,0.9696969696969697,17.0
品,1.0,1.0,1.0,10.0
哄,1.0,1.0,1.0,6.0
哇,1.0,1.0,1.0,6.0
哈,1.0,1.0,1.0,6.0
哎,1.0,1.0,1.0,16.0
員,1.0,1.0,1.0,10.0
哥,1.0,1.0,1.0,6.0
哦,1.0,1.0,1.0,6.0
哨,1.0,1.0,1.0,7.0
哩,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
哪,1.0,1.0,1.0,6.0
哭,0.8571428571428571,1.0,0.923076923076923,6.0
哲,1.0,1.0,1.0,10.0
哼,1.0,1.0,1.0,6.0
唇,1.0,1.0,1.0,7.0
唐,1.0,1.0,1.0,10.0
唧,1.0,1.0,1.0,17.0
售,1.0,1.0,1.0,6.0
唯,1.0,1.0,1.0,7.0
唱,0.875,1.0,0.9333333333333333,7.0
商,1.0,1.0,1.0,10.0
啊,1.0,1.0,1.0,6.0
問,1.0,1.0,1.0,10.0
啞,1.0,1.0,1.0,6.0
啟,1.0,1.0,1.0,10.0
啡,1.0,1.0,1.0,6.0
啥,1.0,1.0,1.0,7.0
啦,1.0,1.0,1.0,6.0
喀,1.0,1.0,1.0,6.0
喃,1.0,0.9375,0.967741935483871,16.0
善,1.0,1.0,1.0,10.0
喇,1.0,1.0,1.0,6.0
喉,1.0,1.0,1.0,7.0
喊,1.0,0.9375,0.967741935483871,16.0
喘,1.0,1.0,1.0,6.0
喚,1.0,1.0,1.0,7.0
喜,1.0,1.0,1.0,10.0
