,precision,recall,f1-score,support
晉,1.0,1.0,1.0,10.0
晟,1.0,1.0,1.0,10.0
晨,1.0,1.0,1.0,10.0
普,1.0,1.0,1.0,10.0
景,1.0,1.0,1.0,10.0
晴,1.0,1.0,1.0,10.0
晶,1.0,1.0,1.0,10.0
智,0.9090909090909091,1.0,0.9523809523809523,10.0
暉,1.0,1.0,1.0,10.0
暘,1.0,1.0,1.0,10.0
曉,1.0,1.0,1.0,10.0
曜,1.0,1.0,1.0,10.0
書,1.0,1.0,1.0,10.0
曹,1.0,0.9,0.9473684210526316,10.0
曾,1.0,1.0,1.0,10.0
會,1.0,1.0,1.0,10.0
月,1.0,0.9,0.9473684210526316,10.0
有,1.0,0.9,0.9473684210526316,10.0
服,1.0,1.0,1.0,10.0
朝,0.9090909090909091,1.0,0.9523809523809523,10.0
期,1.0,0.9,0.9473684210526316,10.0
木,1.0,1.0,1.0,10.0
本,1.0,1.0,1.0,10.0
朱,1.0,1.0,1.0,10.0
李,1.0,1.0,1.0,10.0
材,1.0,1.0,1.0,10.0
村,1.0,1.0,1.0,10.0
杜,1.0,1.0,1.0,10.0
杰,0.9090909090909091,1.0,0.9523809523809523,10.0
東,1.0,1.0,1.0,10.0
松,1.0,1.0,1.0,10.0
林,1.0,1.0,1.0,10.0
果,1.0,1.0,1.0,10.0
枝,1.0,1.0,1.0,10.0
柏,1.0,1.0,1.0,10.0
柔,1.0,0.9,0.9473684210526316,10.0
柯,1.0,1.0,1.0,10.0
格,1.0,1.0,1.0,10.0
桂,1.0,1.0,1.0,10.0
桃,1.0,1.0,1.0,10.0
梁,1.0,1.0,1.0,10.0
梅,1.0,1.0,1.0,10.0
械,1.0,1.0,1.0,10.0
棋,1.0,1.0,1.0,10.0
森,1.0,1.0,1.0,10.0
楊,1.0,1.0,1.0,10.0
業,1.0,1.0,1.0,10.0
榕,1.0,1.0,1.0,10.0
榮,1.0,1.0,1.0,10.0
樂,1.0,1.0,1.0,10.0
樓,1.0,1.0,1.0,10.0
樹,1.0,1.0,1.0,10.0
樺,1.0,1.0,1.0,10.0
橋,1.0,1.0,1.0,10.0
機,1.0,1.0,1.0,10.0
權,1.0,1.0,1.0,10.0
欣,1.0,1.0,1.0,10.0
欽,1.0,1.0,1.0,10.0
款,1.0,1.0,1.0,10.0
歐,1.0,1.0,1.0,10.0
正,1.0,1.0,1.0,10.0
武,1.0,1.0,1.0,10.0
毅,1.0,1.0,1.0,10.0
毓,1.0,1.0,1.0,10.0
民,1.0,1.0,1.0,10.0
氣,1.0,1.0,1.0,10.0
水,1.0,1.0,1.0,10.0
永,1.0,1.0,1.0,10.0
江,1.0,1.0,1.0,10.0
池,1.0,1.0,1.0,10.0
汽,1.0,1.0,1.0,10.0
沈,1.0,1.0,1.0,10.0
沙,1.0,1.0,1.0,10.0
沛,1.0,1.0,1.0,10.0
油,1.0,1.0,1.0,10.0
治,1.0,1.0,1.0,10.0
泉,1.0,1.0,1.0,10.0
泓,1.0,1.0,1.0,10.0
法,1.0,1.0,1.0,10.0
泰,1.0,1.0,1.0,10.0
洋,1.0,1.0,1.0,10.0
津,0.9090909090909091,1.0,0.9523809523809523,10.0
洪,1.0,1.0,1.0,10.0
洲,1.0,1.0,1.0,10.0
活,1.0,1.0,1.0,10.0
流,1.0,1.0,1.0,10.0
浩,1.0,1.0,1.0,10.0
海,1.0,1.0,1.0,10.0
消,1.0,1.0,1.0,10.0
涵,1.0,1.0,1.0,10.0
淑,1.0,1.0,1.0,10.0
淨,1.0,1.0,1.0,10.0
添,1.0,1.0,1.0,10.0
清,1.0,1.0,1.0,10.0
游,1.0,1.0,1.0,10.0
湯,1.0,1.0,1.0,10.0
源,1.0,1.0,1.0,10.0
漁,1.0,1.0,1.0,10.0
漢,1.0,1.0,1.0,10.0
潔,1.0,1.0,1.0,10.0
潘,1.0,1.0,1.0,10.0
潤,1.0,1.0,1.0,10.0
澄,1.0,1.0,1.0,10.0
澤,1.0,1.0,1.0,10.0
瀚,1.0,1.0,1.0,10.0
灣,1.0,1.0,1.0,10.0
炳,0.9090909090909091,1.0,0.9523809523809523,10.0
煌,1.0,1.0,1.0,10.0
煒,1.0,1.0,1.0,10.0
煜,1.0,1.0,1.0,10.0
